,Name,Sex,Age,Height,Weight
0,A Dijiang,M,24.0,180.0,80.0
1,A Lamusi,M,23.0,170.0,60.0
2,Gunnar Nielsen Aaby,M,24.0,,
3,Edgar Lindenau Aabye,M,34.0,,
4,Christine Jacoba Aaftink,F,21.0,185.0,82.0
10,Per Knut Aaland,M,31.0,188.0,75.0
18,John Aalberg,M,31.0,183.0,72.0
26,"Cornelia ""Cor"" Aalten (-Strannood)",F,18.0,168.0,
28,Antti Sami Aalto,M,26.0,186.0,96.0
29,"Einar Ferdinand ""Einari"" Aalto",M,26.0,,
30,Jorma Ilmari Aalto,M,22.0,182.0,76.5
31,Jyri Tapani Aalto,M,31.0,172.0,70.0
32,Minna Maarit Aalto,F,30.0,159.0,55.5
34,Pirjo Hannele Aalto (Mattila-),F,32.0,171.0,65.0
35,Arvo Ossian Aaltonen,M,22.0,,
40,Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0
41,Paavo Johannes Aaltonen,M,28.0,175.0,64.0
57,Timo Antero Aaltonen,M,31.0,189.0,130.0
58,Win Valdemar Aaltonen,M,54.0,,
59,Kjetil Andr Aamodt,M,20.0,176.0,85.0
79,Ragnhild Margrethe Aamodt,F,27.0,163.0,
80,Andreea Aanei,F,22.0,170.0,125.0
81,Fritz Aanes,M,22.0,187.0,89.0
83,Nils Egil Aaness,M,24.0,,
86,Alf Lied Aanning,M,24.0,,
87,Agnes Erika Aanonsen (-Eyde),F,17.0,169.0,65.0
88,Johan Aantjes,M,26.0,,
89,Jan-Erik Aarberg,M,43.0,170.0,77.0
91,Willemien Aardenburg,F,22.0,,
92,Pepijn Aardewijn,M,26.0,189.0,72.0
94,Evald rma (rman-),M,24.0,174.0,70.0
95,Olav Augunson Aarnes,M,23.0,,
96,Mika Lauri Aarnikka,M,24.0,187.0,76.0
98,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0
99,Dagfinn Sverre Aarskog,M,24.0,190.0,98.0
100,Stefan Remco Aartsen,M,21.0,194.0,78.0
105,Ann Kristin Aarnes,F,23.0,182.0,64.0
106,Karl Jan Aas,M,20.0,,
107,Lars Thorlaksn Aas,M,33.0,,
110,Roald Edgar Aas,M,23.0,,
116,Rolf Aas,M,28.0,,
117,Thomas Valentin Aas,M,25.0,,
118,Morten Gjerdrum Aasen,M,34.0,185.0,75.0
119,Meelis Aasme,M,25.0,182.0,73.0
124,Hakon Aasns,M,41.0,,
125,Hans Aasns,M,33.0,194.0,93.0
130,Erling Rudolf Aastad,M,22.0,177.0,74.0
134,Abdelhak Aatakni,M,24.0,,64.0
135,Moonika Aava,F,24.0,168.0,65.0
137,Arvi Aavik,M,22.0,185.0,106.0
139,Nstor Abad Sanjun,M,23.0,167.0,64.0
145,Patrick Abada,M,22.0,189.0,80.0
146,Talaat Abada,M,24.0,172.0,58.0
147,Mohamed Jamshid Abadi,M,,,
148,Antonio Abadia Beci,M,26.0,170.0,65.0
149,Ren Abadie,M,21.0,,
151,Borislav Abadzhiev,M,24.0,176.0,66.0
152,Georgi Abadzhiev,M,,,
154,Ivan Nikolov Abadzhiev,M,24.0,164.0,71.0
156,Mikhail Abadzhiev,M,24.0,172.0,75.0
157,Stefan Abadzhiev,M,26.0,175.0,72.0
158,Giovanni Abagnale,M,21.0,198.0,90.0
159,Jos Luis Abajo Gmez,M,30.0,194.0,87.0
160,M'Bairo Abakar,M,31.0,,
161,Patimat Abakarova,F,21.0,165.0,49.0
162,Mohamed Abakkar,M,,156.0,48.0
163,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0
165,Pablo Martn Abal,M,23.0,178.0,76.0
167,Tamara Abalde Daz,F,19.0,185.0,72.0
168,Jess Iory Aball Martnez,M,26.0,167.0,65.0
169,Juan Antonio Aball Delgado,M,27.0,172.0,82.0
171,Aleksey Aleksandrovich Abalmasov,M,24.0,180.0,83.0
173,Luc Abalo,M,23.0,182.0,86.0
176,Mara Laura Abalo,F,30.0,182.0,73.0
177,Giorgos Abalof,M,22.0,178.0,70.0
178,Jouan Patrice Abanda Etong,M,22.0,185.0,82.0
179,Antoine Abang,M,27.0,166.0,75.0
180,Salim Abanoz,M,26.0,,
181,Carlos Abarca Gonzlez,M,23.0,,
182,Jos Mara Abarca Plotas,M,22.0,186.0,83.0
183,Georgios Abaris,M,22.0,190.0,77.0
184,Enrique Abaroa Martnez,M,26.0,183.0,75.0
185,Carlos Arturo Abarza Chavez,M,22.0,,
186,Stephen Anthony Abas,M,26.0,165.0,55.0
187,Alejandro Abascal Garca,M,24.0,181.0,82.0
190,Jos Manuel Abascal Gmez,M,22.0,182.0,67.0
192,Rost'om Omeris dze Abashidze,M,29.0,188.0,97.0
193,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25.0,168.0,105.0
194,Rodrigo Abasolo,M,21.0,,
195,Tamila Rashidovna Abasova,F,21.0,163.0,60.0
197,Emanuele Abate,M,27.0,190.0,80.0
198,Ignazio Abate,M,21.0,180.0,73.0
199,Jol Marc Abati,M,34.0,190.0,85.0
201,Ral Abatte,M,38.0,,
202,Georgia Abatzidou,F,35.0,155.0,43.0
203,Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0
204,Carlos Alberto Abaunza,M,16.0,180.0,70.0
205,Hctor Abaunza,M,30.0,169.0,75.0
208,Pter Abay,M,30.0,181.0,79.0
209,Oszkr Abay-Nemes,M,22.0,,
211,Adeyemi Abayomi,M,25.0,170.0,51.0
212,Sayed Fahmy Abaza,M,,,
214,Silvano Abba,M,25.0,,
215,Gana Abba Kimet,M,26.0,,
216,Ilyas Abbadi,M,19.0,175.0,75.0
218,Agostino Abbagnale,M,22.0,188.0,96.0
221,Carmine Abbagnale,M,22.0,182.0,90.0
225,Giuseppe Abbagnale,M,20.0,187.0,97.0
229,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0
