title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
大众 宝来 2014款 1.6L 自动时尚型,一汽-大众,2014-08,3.82,自动,1.6L,8.00,13.00,北京,2014款,紧凑型,0,105马力,汽油,4523,1775,1467,,前置前驱
福特 福睿斯 2015款 1.5L 自动时尚型,长安福特,2015-12,2.35,自动,1.5L,7.80,13.00,北京,2015款,紧凑型,0,113马力,汽油,4587,1825,1490,,前置前驱
大众 速腾 2012款 1.6L 自动舒适型,一汽-大众,2012-05,6.67,自动,1.6L,7.00,16.40,北京,2012款,紧凑型,0,105马力,汽油,4644,1778,1482,,前置前驱
奔驰C级 2011款 C 200 CGI 时尚型,北京奔驰,2013-01,11.83,自动,1.8T,15.00,42.10,北京,2011款,中型,0,184马力,汽油,4591,1770,1444,,前置后驱
大众 帕萨特 2013款 2.0TSI DSG御尊版,上汽大众,2013-11,8.95,自动,2.0T,13.00,27.70,北京,2013款,中型,0,200马力,汽油,4870,1834,1472,,前置前驱
哈弗H6 2011款 2.0L 手动两驱精英型,长城汽车,2012-11,5.17,手动,2.0L,4.50,11.50,北京,2011款,紧凑型,1,133马力,汽油,4640,1825,1690,,前置前驱
起亚K3 2013款 1.6L 自动GLS,东风悦达起亚,2014-07,6.58,自动,1.6L,7.00,13.50,北京,2013款,紧凑型,0,128马力,汽油,4600,1780,1445,,前置前驱
奔驰C级 2011款 C 200 CGI 时尚型,北京奔驰,2012-08,7.33,自动,1.8T,16.00,42.10,北京,2011款,中型,0,184马力,汽油,4591,1770,1444,,前置后驱
奔驰E级 2015款 改款 E 260 L,北京奔驰,2016-01,10.36,自动,2.0T,32.00,53.00,北京,2015款,中大型,0,211马力,汽油,5024,1854,1477,,前置后驱
本田 缤智 2016款 1.8L CVT两驱先锋型,广汽本田,2016-08,0.87,自动,1.8L,12.50,16.70,北京,2016款,小型,1,136马力,汽油,4294,1772,1605,,前置前驱
奔驰C级 2018款 C 200 运动版,北京奔驰,2018-03,0.84,自动,2.0T,26.80,34.00,北京,2018款,中型,0,184马力,汽油,4714,1810,1442,,前置后驱
现代 朗动 2013款 1.6L 自动领先型,北京现代,2013-12,2.31,自动,1.6L,6.50,13.90,北京,2013款,紧凑型,0,128马力,汽油,4570,1775,1445,,前置前驱
日产 骐达 2011款 1.6L 手动智能型,东风日产,2012-06,4.84,手动,1.6L,4.99,12.50,北京,2011款,紧凑型,0,126马力,汽油,4295,1760,1520,,前置前驱
奇瑞 瑞虎5 2014款 2.0L CVT家尊版,奇瑞汽车,2014-12,0.53,自动,2.0L,5.46,13.30,北京,2014款,紧凑型,1,139马力,汽油,4506,1841,1740,,前置前驱
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,北京奔驰,2014-03,5.95,自动,3.0L,23.10,47.50,北京,2013款,中型,1,245马力,汽油,4528,1840,1689,,前置四驱
比亚迪S7 2016款 2.0T 自动旗舰型,比亚迪,2015-12,2.83,自动,2.0T,7.42,15.20,北京,2016款,中型,1,205马力,汽油,4835,1855,1720,,前置前驱
福特 福克斯 2012款 两厢 1.6L 自动风尚型,长安福特,2015-04,4.35,自动,1.6L,6.30,15.60,北京,2012款,紧凑型,0,125马力,汽油,4368,1823,1483,,前置前驱
