title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
别克 君威 2015款 1.6T 领先技术型,上汽通用别克,2016-10,2.6,自动,1.6T,12.00,20.60,广州,2015款,中型,0,184马力,汽油,4843,1856,1484,,前置前驱
奔腾X80 2013款 2.0L 自动舒适型,一汽奔腾,2013-07,5.84,自动,2.0L,5.32,14.50,广州,2013款,紧凑型,1,147马力,汽油,4586,1820,1695,,前置前驱
日产 轩逸 2012款 1.8XL CVT豪华版,东风日产,2014-05,5.82,自动,1.8L,8.50,16.30,广州,2012款,紧凑型,0,139马力,汽油,4610,1760,1495,,前置前驱
丰田 雷凌 2014款 1.6G CVT精英版,广汽丰田,2015-11,4.47,自动,1.6L,8.50,13.50,广州,2014款,紧凑型,0,122马力,汽油,4630,1775,1480,,前置前驱
日产 轩逸 2012款 经典 1.6XE 手动舒适版,东风日产,2014-08,9.48,手动,1.6L,5.50,10.80,广州,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
别克GL8 2013款 2.4L 经典版,上汽通用别克,2014-01,11.63,自动,2.4L,9.90,22.70,广州,2013款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
日产 轩逸 2016款 经典 1.6XE 手动舒适版,东风日产,2016-11,1.85,手动,1.6L,5.60,10.80,广州,2016款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
传祺GS5 2014款 2.0L 自动两驱超享版,广汽乘用车,2015-04,2.73,自动,2.0L,7.38,14.80,广州,2014款,紧凑型,1,147马力,汽油,4732,1854,1680,,前置前驱
日产 轩逸 2012款 经典 1.6XL 自动豪华版,东风日产,2013-11,3.85,自动,1.6L,6.43,13.10,广州,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
日产 轩逸 2012款 经典 1.6XE 手动舒适版,东风日产,2014-11,2.43,手动,1.6L,6.00,10.80,广州,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
别克 凯越 2013款 1.5L 自动经典型,上汽通用别克,2014-08,6.86,自动,1.5L,4.40,11.10,广州,2013款,紧凑型,0,113马力,汽油,4515,1725,1445,,前置前驱
别克 君越 2011款 2.4L SIDI雅致版,上汽通用别克,2011-04,8.54,自动,2.4L,7.30,25.50,广州,2011款,中型,0,186马力,汽油,5000,1858,1497,,前置前驱
雪佛兰 2015款 赛欧3 1.3L 手动理想版,上汽通用雪佛兰,2016-05,4.77,手动,1.3L,3.50,6.80,广州,2015款,小型,0,103马力,汽油,4300,1735,1504,,前置前驱
本田 飞度 2018款 1.5L CVT舒适版,广汽本田,2018-11,0.36,自动,1.5L,7.39,8.90,广州,2018款,小型,0,131马力,汽油,4096,1695,1525,,前置前驱
