num,class,chn,math,eng,phy,chem,politics,bio,history,geo,pe
0158,3,99,120,114,70,49.5,50,49,48.5,49.5,60
0442,7,107,120,118.5,68.6,43,49,48.5,48.5,49,56
0249,4,98,120,116,70,47.5,47,49,47.5,49,60
0573,9,102,113,111.5,70,47,49,49,49,49.5,60
0310,5,103,120,111.5,70,44.75,46.5,48,48,48,60
0613,10,98,120,113,70,46.75,47.5,47.5,47,48.5,60
0502,8,99.5,120,113.5,68.6,45.75,46.5,47.5,47.5,48,60
0115,2,95.5,117,115.5,70,47.25,50,48,48,48.5,56
0298,5,101.5,120,109,64.4,47.25,49,48.5,47.5,49,56
0531,9,100,118,114,66.5,49.5,47.5,48.5,46.5,49.5,52
0266,5,99,118,112,67.9,46.5,49,49,46,47.5,56
0166,3,87.5,120,112.5,70,49.5,46,49,47.5,48,60
0511,8,98.5,119,111.5,67.9,45.5,46.5,48,48.5,48.5,56
0495,8,104,117,108,68.6,47.25,47,47,47.5,47.5,56
0452,8,100,119,106,65.8,46.5,46.5,48,48,49.5,60
0276,5,96,118,110.5,66.5,49.75,48,48,48,47.5,56
0012,1,92.5,120,116,68.6,47.75,46.5,46,49,48,52
0228,4,98.5,119,111.5,65.8,46,48.5,44.5,44.5,48,60
0201,4,97,118,109.5,67.2,48.25,47,48.5,47.5,47,56
0592,10,100,120,104.5,65.8,49,49,47,43.5,47,60
0100,2,100,115,109,66.5,43.75,47.5,47.5,47.5,48.5,60
0117,2,93,120,111,69.3,46,48,48.5,46,47,56
0379,6,100.5,120,112.5,70,46.75,44.5,45.5,45,48,52
0255,4,103,118,107,69.3,45.5,44.5,46.5,44.5,49.5,56
0490,8,90.5,116,115.5,69.3,47.25,44.5,47,48,49,56
0465,8,95,117,108.5,67.9,48,48,47.5,46,48,56
0354,6,100,120,106,67.9,49.5,50,46.5,45.5,48,48
0342,6,102.5,118,107.5,69.3,43.25,44.5,46,47,47,56
0394,7,92.5,120,109,65.1,44.5,49,47.5,47,49,56
0020,1,91.5,115,115.5,67.2,43,45,48.5,48.5,48.5,56
0076,2,90.5,113,107.5,69.3,43.5,48,48,46.5,49,60
0181,3,98,112,108,66.5,42.25,50,47,47,48,56
0236,4,88.5,117,108.5,64.4,47.5,49,45.5,47,47,60
0384,6,97.5,120,110,67.2,41.25,46.5,44.5,43.5,47,56
0054,1,95,107,113.5,67.2,45,44.5,48,47.5,49,56
0644,8,86,120,110.5,67.9,46.75,45.5,48.5,46,48.5,52
0437,7,90,116,107,65.1,45.5,46,47.5,46.5,47.5,60
0504,8,97.5,118,101,65.8,48,46,44.5,47,47,56
0618,10,101.5,117,101,66.5,43.25,50,47.5,43,49,52
0654,9,99.5,108,106.5,67.2,43.25,46.5,47.5,48,48,56
0630,10,100,112,107.5,68.6,46.75,45,48,43,47.5,52
0615,10,90.5,120,112,67.2,47,46,48,42,45.5,52
0068,2,87.5,113,107.5,69.3,44.75,47.5,47.5,49,48,56
0133,3,90.5,118,105,68.6,48.25,46.5,45.5,45.5,46,56
0247,4,98.5,108,103,68.6,47,46.5,43.5,46.5,47.5,60
0498,8,92,114,108.5,67.9,47.75,45.5,46,48,47,52
0633,10,93.5,116,113.5,62.3,45.75,49,48,43.5,48.5,48
0352,6,97.5,118,110,63.7,47,45.5,45,38,47,56
0587,10,85,116,105.5,68.6,47,49,45,46.5,48.5,56
0461,8,92,120,111.5,67.2,45.25,44.5,45.5,45.5,47.5,48
0400,7,80,120,111.5,68.6,45.75,44.5,46.5,47,47,56
0265,5,89.5,116,106.5,66.5,43,46.5,47,43.5,48,60
0638,10,97,115,107.5,63.7,43.75,49,45.5,42,47,56
0364,6,98,111,107.5,69.3,44.5,46,47,44.5,46.5,52
0462,8,89,117,101,67.2,47,44,46.5,45.5,48.5,60
0362,6,100.5,118,102,67.9,41.25,44.5,44,44,47.5,56
0290,5,100,109,102.5,64.4,45.25,47.5,48.5,46.5,46,56
0506,8,83,120,106,63,48.5,49,45,47.5,47.5,56
0416,7,95,116,109,60.9,42,48,48,45,49.5,52
0267,5,94.5,109,112,64.4,49,46.5,44,45,48.5,52
0050,1,96.5,107,114,65.1,47.25,46.5,46,45,45.5,52
0549,9,84,119,105,69.3,45,46,47.5,44.5,48,56
0113,2,84.5,115,105.5,67.9,48.75,46,45.5,46.5,48.5,56
0297,5,98.5,112,107,65.1,40.75,45.5,46,43,45.5,60
0079,2,83.5,117,108.5,67.9,47.25,47.5,45,45,48,52
0355,6,95,117,108.5,62.3,41.25,48,44.5,42,47,56
0545,9,92,118,101.5,63.7,45.75,46,49,42,47.5,56
0161,3,88,117,106.5,69.3,44,45,47.5,41.5,46.5,56
0007,1,82.5,109,111.5,68.6,47,43.5,48,46,44.5,60
0515,9,91.5,115,109,63.7,44.25,47.5,48.5,46,47,48
0679,4,89,111,115,67.2,44.75,48,47.5,43,47,48
0548,9,93.5,116,105.5,61.6,47.25,45.5,45,41.5,48.5,56
0428,7,95.5,109,104,66.5,44.25,44.5,45.5,42.5,48.5,60
