title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
本田 奥德赛 2015款 2.4L 智享版,广汽本田,2015-09,4.69,自动,2.4L,25.00,29.00,上海,2015款,MPV,0,186马力,汽油,4830,1805,1695,,前置前驱
大众 途观 2013款 1.8TSI 自动两驱豪华型,上汽大众,2013-12,9.47,自动,1.8T,13.00,28.20,上海,2013款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
斯柯达 晶锐 2015款 1.6L 自动创行版,上汽斯柯达,2016-06,3.07,自动,1.6L,6.00,10.30,上海,2015款,小型,0,110马力,汽油,3993,1732,1487,,前置前驱
奔驰E级 2011款 E 300 L 优雅型,北京奔驰,2012-02,2.17,自动,3.0L,21.00,64.70,上海,2011款,中大型,0,245马力,汽油,5012,1855,1464,,前置后驱
本田 凌派 2013款 1.8L 手动舒适版,广汽本田,2014-07,7.47,手动,1.8L,6.38,12.50,上海,2013款,紧凑型,0,139马力,汽油,4650,1750,1505,,前置前驱
福特 翼虎 2013款 2.0L GTDi 四驱运动型,长安福特,2014-06,4.04,自动,2.0T,14.00,28.50,上海,2013款,紧凑型,1,242马力,汽油,4524,1838,1695,,前置四驱
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,长安福特,2015-01,7.23,自动,1.5T,12.00,20.60,上海,2013款,中型,0,181马力,汽油,4860,1854,1480,,前置前驱
宝马3系 2014款 320Li 时尚型,华晨宝马,2014-03,6.54,自动,2.0T,18.50,38.90,上海,2014款,中型,0,184马力,汽油,4734,1811,1453,,前置后驱
大众 途观 2013款 1.8TSI 自动两驱舒适版,上汽大众,2014-02,8.32,自动,1.8T,13.00,25.80,上海,2013款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
起亚 智跑 2015款 2.0L 自动两驱版DLX,东风悦达起亚,2015-11,3.66,自动,2.0L,9.00,19.30,上海,2015款,紧凑型,1,165马力,汽油,4450,1855,1660,,前置前驱
本田CR-V 2013款 2.4L 两驱豪华版,东风本田,2013-08,12.06,自动,2.4L,12.80,24.90,上海,2013款,紧凑型,1,190马力,汽油,4550,1820,1685,,前置前驱
斯柯达 明锐 2017款 1.6L 手动智行版,上汽斯柯达,2017-03,2.6,手动,1.6L,8.00,15.20,上海,2017款,紧凑型,0,110马力,汽油,4659,1814,1460,,前置前驱
大众 途观 2012款 1.8TSI 自动四驱菁英版,上汽大众,2013-01,12.2,自动,1.8T,12.00,29.50,上海,2012款,紧凑型,1,160马力,汽油,4525,1809,1685,,前置四驱
福特 福睿斯 2015款 1.5L 自动时尚型,长安福特,2015-12,4.56,自动,1.5L,7.00,13.00,上海,2015款,紧凑型,0,113马力,汽油,4587,1825,1490,,前置前驱
现代ix35 2012款 2.0L 自动两驱精英版GLS,北京现代,2012-12,4.98,自动,2.0L,8.00,21.30,上海,2012款,紧凑型,1,165马力,汽油,4420,1820,1690,,前置前驱
福特 福睿斯 2015款 1.5L 手动舒适型,长安福特,2016-09,1.96,手动,1.5L,5.77,10.50,上海,2015款,紧凑型,0,113马力,汽油,4587,1825,1490,,前置前驱
斯柯达 明锐 2013款 1.6L 五周年典藏版,上汽斯柯达,2013-07,5,自动,1.6L,6.00,16.10,上海,2013款,紧凑型,0,105马力,汽油,4569,1769,1462,,前置前驱
北汽绅宝 绅宝X65 2015款 2.0T 手动精英型,北京汽车,2015-06,1.61,手动,2.0T,5.30,12.70,上海,2015款,紧凑型,1,177马力,汽油,4654,1816,1680,,前置前驱
大众 高尔夫 2011款 1.6 自动舒适型,一汽-大众,2011-04,5.43,自动,1.6L,6.20,15.20,上海,2011款,紧凑型,0,105马力,汽油,4199,1786,1479,,前置前驱
大众 朗逸 2011款 1.6L 手动品雅版,上汽大众,2012-11,9.53,手动,1.6L,4.80,13.30,上海,2011款,紧凑型,0,105马力,汽油,4608,1743,1465,,前置前驱
奥迪Q5 2016款 40 TFSI 进取型,一汽-大众奥迪,2016-05,4.79,自动,2.0T,23.63,41.60,上海,2016款,中型,1,224马力,汽油,4629,1898,1655,,前置四驱
宝马3系 2013款 改款 328Li 豪华设计套装,华晨宝马,2013-07,5.07,自动,2.0T,18.75,49.20,上海,2013款,中型,0,245马力,汽油,4734,1811,1455,,前置后驱
别克 英朗 2014款 XT 1.6L 自动时尚版,上汽通用别克,2014-05,3.14,自动,1.6L,6.04,16.30,上海,2014款,紧凑型,0,121马力,汽油,4419,1814,1487,,前置前驱
别克 凯越 2011款 1.6LX-AT,上汽通用别克,2012-12,4.29,自动,1.6L,3.37,11.40,上海,2011款,紧凑型,0,110马力,汽油,4515,1725,1445,,前置前驱
奥迪A5 2013款 Coupe 40 TFSI(进口),奥迪(进口),2012-11,6.12,自动,2.0T,20.25,57.00,上海,2013款,中型,0,211马力,汽油,4626,1854,1372,,前置前驱
丰田 锐志 2013款 2.5V 菁锐版,一汽丰田,2015-09,2.94,自动,2.5L,15.75,24.90,上海,2013款,中型,0,193马力,汽油,4750,1795,1450,,前置后驱
福特 福克斯 2012款 两厢 1.6L 自动舒适型,长安福特,2013-12,2.23,自动,1.6L,5.60,14.20,上海,2012款,紧凑型,0,125马力,汽油,4368,1823,1483,,前置前驱
吉利 帝豪 2014款 两厢 1.3T CVT尊贵型,吉利汽车,2014-11,6.82,自动,1.3T,4.07,10.90,上海,2014款,紧凑型,0,133马力,汽油,4425,1789,1470,,前置前驱
福特 翼虎 2015款 1.5L GTDi 两驱风尚型,长安福特,2015-11,8.46,自动,1.5T,10.98,11.33,上海,2015款,紧凑型,1,181马力,汽油,4524,1838,1695,,前置前驱
别克GL8 2012款 2.4L BASE舒适版,上汽通用别克,2013-01,9.18,自动,2.4L,7.90,22.70,上海,2012款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
大众 途观 2015款 1.8TSI 自动两驱舒适版,上汽大众,2015-04,4.16,自动,1.8T,12.94,25.80,上海,2015款,紧凑型,1,160马力,汽油,4506,1809,1685,,前置前驱
别克 君威 2015款 2.0L 领先时尚型,上汽通用别克,2015-09,4.65,自动,2.0L,10.00,19.40,上海,2015款,中型,0,154马力,汽油,4843,1856,1484,,前置前驱
雪铁龙C5 2013款 2.3L 自动悦享型,东风雪铁龙,2013-12,8.09,自动,2.3L,7.28,23.70,上海,2013款,中型,0,171马力,汽油,4805,1860,1458,,前置前驱
大众 途观 2013款 2.0TSI 自动四驱旗舰版,上汽大众,2013-12,5.73,自动,2.0T,14.26,14.56,上海,2013款,紧凑型,1,200马力,汽油,4506,1809,1685,,前置四驱
现代ix35 2012款 2.0L 自动两驱精英版GLS,北京现代,2013-09,9.74,自动,2.0L,7.52,21.30,上海,2012款,紧凑型,1,165马力,汽油,4420,1820,1690,,前置前驱
福特 翼虎 2015款 1.5L GTDi 四驱精英型,长安福特,2016-07,2.81,自动,1.5T,13.37,13.76,上海,2015款,紧凑型,1,181马力,汽油,4524,1838,1695,,前置四驱
福特 翼搏 2013款 1.5L 自动风尚型,长安福特,2014-06,11.08,自动,1.5L,5.18,12.20,上海,2013款,小型,1,110马力,汽油,4280,1785,1658,,前置前驱
吉利 博越 2018款 1.8TD 手动两驱智雅型,吉利汽车,2018-08,0.77,手动,1.8T,8.14,11.90,上海,2018款,紧凑型,1,163马力,汽油,4519,1831,1694,,前置前驱
日产 蓝鸟 2018款 1.6L CVT智酷潮音版,东风日产,2018-05,2.78,自动,1.6L,10.33,14.60,上海,2018款,紧凑型,0,126马力,汽油,4683,1780,1465,,前置前驱
斯柯达 晶锐 2011款 1.4L 自动晶致版,上汽斯柯达,2011-11,7.83,自动,1.4L,3.15,9.90,上海,2011款,小型,0,86马力,汽油,3992,1642,1500,,前置前驱
别克GL8 2011款 2.4L LT行政版,上汽通用别克,2013-04,12.13,自动,2.4L,8.48,8.64,上海,2011款,MPV,0,167马力,汽油,5213,1847,1750,,前置前驱
雪佛兰 科鲁兹 2018款 320 自动先锋天窗版,上汽通用雪佛兰,2018-05,3.85,自动,1.5L,7.72,13.60,上海,2018款,紧凑型,0,114马力,汽油,4666,1807,1460,,前置前驱
长安CS35 2017款 1.6L 手动豪华型,长安汽车,2017-10,0.97,手动,1.6L,5.13,7.90,上海,2017款,小型,1,125马力,汽油,4170,1810,1670,,前置前驱
起亚KX3 2015款 1.6T 自动两驱DLX,东风悦达起亚,2016-10,4.05,自动,1.6T,8.48,16.70,上海,2015款,小型,1,160马力,汽油,4270,1780,1645,,前置前驱
大众 途观 2015款 2.0TSI 自动四驱旗舰版,上汽大众,2015-08,4.97,自动,2.0T,16.43,16.86,上海,2015款,紧凑型,1,200马力,汽油,4506,1809,1685,,前置四驱
