title,brand,buy_time,km,speedbox,displacement,es_price,new_price,city,year_type,level,suv,horsepower,fuel,length,width,height,owners,drive
传祺GS4 2015款 200T G-DCT豪华版,广汽乘用车,2015-07,5.79,自动,1.3T,8.00,14.80,深圳,2015款,紧凑型,1,137马力,汽油,4510,1852,1708,,前置前驱
宝马X1 2018款 sDrive20Li 领先型,华晨宝马,2018-02,1.54,自动,2.0T,25.00,34.40,深圳,2018款,紧凑型,1,192马力,汽油,4565,1821,1624,,前置前驱
长安CS75 2016款 1.5T 手动锋尚型,长安汽车,2016-12,2.95,手动,1.5T,6.60,11.10,深圳,2016款,紧凑型,1,170马力,汽油,4650,1850,1705,,前置前驱
本田 缤智 2015款 1.5L CVT两驱舒适型,广汽本田,2016-09,2.77,自动,1.5L,11.00,14.80,深圳,2015款,小型,1,131马力,汽油,4294,1772,1605,,前置前驱
本田 飞度 2014款 1.5L EXLI CVT领先型,广汽本田,2017-02,1.72,自动,1.5L,9.30,12.20,深圳,2014款,小型,0,131马力,汽油,4065,1695,1525,,前置前驱
长安CS35 2017款 1.6L 自动豪华型,长安汽车,2018-02,3.84,自动,1.6L,6.00,9.00,深圳,2017款,小型,1,125马力,汽油,4170,1810,1670,,前置前驱
日产 轩逸 2014款 1.6XV CVT尊享版,东风日产,2015-10,7.84,自动,1.6L,8.40,15.00,深圳,2014款,紧凑型,0,126马力,汽油,4610,1760,1495,,前置前驱
五菱宏光 2015款 1.5L S基本型 国V,上汽通用五菱,2017-11,1.07,手动,1.5L,4.00,5.70,深圳,2015款,微面,0,112马力,汽油,4400,1680,1770,,前置后驱
福特 福克斯 2013款 三厢经典 1.8L 手动基本型,长安福特,2013-08,16.35,手动,1.8L,3.50,10.80,深圳,2013款,紧凑型,0,124马力,汽油,4480,1840,1500,,前置前驱
陆风X5 2014款 2.0T 自动创领版,陆风汽车,2015-04,7.81,自动,2.0T,6.00,14.50,深圳,2014款,紧凑型,1,190马力,汽油,4568,1855,1710,,前置前驱
大众 朗行 2015款 1.6L 自动舒适版,上汽大众,2016-04,2.55,自动,1.6L,8.40,15.20,深圳,2015款,紧凑型,0,110马力,汽油,4445,1765,1485,,前置前驱
日产 颐达 2008款 1.6L 自动智能型,东风日产,2009-10,13.78,自动,1.6L,3.57,3.72,深圳,2008款,紧凑型,0,109马力,汽油,4480,1695,1535,,前置前驱
长安CS35 2014款 1.6L 自动豪华型 国IV,长安汽车,2014-03,6.53,自动,1.6L,3.99,4.04,深圳,2014款,小型,1,125马力,汽油,4160,1810,1670,,前置前驱
现代 名图 2016款 1.8L 自动尊贵型DLX,北京现代,2016-11,3.05,自动,1.8L,10.13,10.58,深圳,2016款,中型,0,143马力,汽油,4710,1820,1470,,前置前驱
大众 宝来 2016款 1.6L 自动时尚型,一汽-大众,2016-11,10.47,自动,1.6L,7.00,13.00,深圳,2016款,紧凑型,0,110马力,汽油,4562,1793,1468,,前置前驱
福特 锐界 2015款 2.0T GTDi 两驱豪锐型,长安福特,2015-08,6.83,自动,2.0T,17.46,18.06,深圳,2015款,中型,1,245马力,汽油,4878,1925,1770,,前置前驱
大众 迈腾 2015款 1.8TSI 领先型,一汽-大众,2015-12,5.97,自动,1.8T,12.87,13.32,深圳,2015款,中型,0,160马力,汽油,4865,1820,1475,,前置前驱
标致408 2015款 1.2T 自动豪华版,东风标致,2015-12,9.38,自动,1.2T,6.89,7.15,深圳,2015款,紧凑型,0,136马力,汽油,4750,1820,1488,,前置前驱
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,上汽通用雪佛兰,2016-07,6.04,自动,2.4L,11.54,22.80,深圳,2015款,中型,1,167马力,汽油,4690,1868,1756,,前置四驱
哈弗H2 2016款 红标 1.5T 手动两驱精英型,长城汽车,2015-10,4.96,手动,1.5T,5.04,5.23,深圳,2016款,小型,1,150马力,汽油,4335,1814,1695,,前置前驱
起亚 智跑 2014款 2.0L 自动两驱版DLX,东风悦达起亚,2014-03,3.46,自动,2.0L,8.61,8.99,深圳,2014款,紧凑型,1,165马力,汽油,4440,1855,1660,,前置前驱
本田 雅阁 2016款 2.0L 精英版,广汽本田,2017-01,4.27,自动,2.0L,14.91,15.43,深圳,2016款,中型,0,155马力,汽油,4915,1845,1470,,前置前驱
别克 凯越 2013款 1.5L 自动经典型,上汽通用别克,2015-05,10.02,自动,1.5L,4.23,4.32,深圳,2013款,紧凑型,0,113马力,汽油,4515,1725,1445,,前置前驱
比亚迪G6 2013款 1.5TI 手动尊贵型,比亚迪,2014-11,1.69,手动,1.5T,4.35,10.80,深圳,2013款,中型,0,154马力,汽油,4860,1825,1463,,前置前驱
日产 轩逸 2012款 经典 1.6XE 自动舒适版,东风日产,2015-03,8.22,自动,1.6L,7.30,11.90,深圳,2012款,紧凑型,0,117马力,汽油,4665,1700,1505,,前置前驱
现代 悦动 2011款 1.6L 手动舒适型,北京现代,2013-11,13.26,手动,1.6L,3.51,10.80,深圳,2011款,紧凑型,0,123马力,汽油,4543,1777,1490,,前置前驱
长城C30 2016款 1.5L AMT豪华型,长城汽车,2016-09,2.21,自动,1.5L,3.82,3.93,深圳,2016款,紧凑型,0,106马力,汽油,4471,1705,1480,,前置前驱
传祺GS4 2016款 235T G-DCT豪华版,广汽乘用车,2016-10,1.96,自动,1.5T,8.71,9.06,深圳,2016款,紧凑型,1,152马力,汽油,4510,1852,1708,,前置前驱
Smart smart fortwo 2014款 1.0 MHD 硬顶城市光波激情版,smart,2015-05,5.05,自动,1.0L,5.46,5.68,深圳,2014款,微型,0,70马力,汽油,2695,1559,1565,,后置后驱
起亚K3 2015款 1.6L 自动GLS,东风悦达起亚,2016-05,6.6,自动,1.6L,6.85,13.50,深圳,2015款,紧凑型,0,128马力,汽油,4600,1780,1445,,前置前驱
吉利 帝豪GL 2018款 1.4T 自动尊贵智联型,吉利汽车,2018-04,1.09,自动,1.4T,9.00,11.90,深圳,2018款,紧凑型,0,133马力,汽油,4725,1802,1478,,前置前驱
传祺GA3S新能源 2017款 1.5L 精英版,广汽新能源,2017-12,2.32,自动,1.5L,7.64,7.74,深圳,2017款,紧凑型,0,97马力,插电式混合动力,4600,1790,1530,,前置前驱
别克 英朗 2015款 15N 自动精英型,上汽通用别克,2016-04,8.01,自动,1.5L,6.28,6.59,深圳,2015款,紧凑型,0,114马力,汽油,4587,1798,1463,,前置前驱
