Direction,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
南北,无电梯,低楼层(共6层),翠竹苑,0,3室1厅,365.0,浦东,简装,77.84,1995.0
南,有电梯,低楼层(共36层),百汇园,1,3室2厅,1449.0,徐汇,精装,145.2,1995.0
南北,有电梯,中楼层(共26层),仁恒河滨城(二期),2,3室2厅,1630.0,浦东,精装,161.94,1995.0
南,有电梯,高楼层(共30层),财富海景花园,3,3室2厅,2000.0,浦东,精装,185,1995.0
东,有电梯,中楼层(共26层),仁恒滨江园,4,3室2厅,1360.0,浦东,精装,130.41,1995.0
南,有电梯,中楼层(共34层),老西门新苑,5,3室2厅,1366.0,黄浦,精装,143.08,1995.0
南,有电梯,中楼层(共13层),浦江茗园,6,3室2厅,1180.0,浦东,精装,141.25,1995.0
西南,有电梯,高楼层(共41层),世茂滨江花园,7,2室2厅,1450.0,浦东,精装,147.39,1995.0
南,有电梯,中楼层(共11层),中芯花园(公寓),8,2室2厅,630.0,浦东,精装,101.86,1995.0
南北,无电梯,低楼层(共6层),金水苑,9,3室2厅,240.0,奉贤,简装,133.62,1995.0
南北,有电梯,中楼层(共31层),上海滩花园,10,2室2厅,1290.0,黄浦,精装,120.61,1995.0
南,无电梯,中楼层(共5层),绿野香洲(公寓),11,3室2厅,660.0,闵行,精装,107.53,1995.0
南北,无电梯,高楼层(共7层),光复新苑,12,3室2厅,540.0,普陀,精装,90.52,1995.0
南,有电梯,高楼层(共16层),上海绿城,13,3室2厅,1150.0,浦东,精装,134.55,1995.0
南,有电梯,低楼层(共11层),万科城花新园,14,3室2厅,860.0,闵行,精装,129.73,1995.0
南,有电梯,低楼层(共18层),鸿凯湾绿苑,15,3室2厅,1090.0,长宁,简装,120.76,1995.0
南,有电梯,低楼层(共18层),荣域飘鹰锦和花园(公寓),16,2室2厅,315.0,宝山,毛坯,90.5,1995.0
南,有电梯,低楼层(共9层),恒大华城天地苑,17,3室2厅,768.0,浦东,简装,115.67,1995.0
南,有电梯,高楼层(共18层),中环家园,18,3室2厅,850.0,普陀,精装,131.58,1995.0
南,有电梯,低楼层(共35层),浦东世纪花园(公寓),19,3室2厅,1400.0,浦东,精装,179.52,1995.0
南,有电梯,低楼层(共18层),星颂家园,20,2室2厅,265.0,浦东,精装,72.64,1995.0
南,有电梯,低楼层(共11层),莲浦府邸(公寓),21,3室2厅,975.0,闵行,精装,141.21,1995.0
南,有电梯,高楼层(共13层),广洋新景苑(公寓),22,2室2厅,1000.0,浦东,精装,116.54,1995.0
南,有电梯,中楼层(共11层),欧风花都,23,2室2厅,628.0,闵行,精装,104.89,1995.0
南,无电梯,高楼层(共6层),长兴坊,24,3室1厅,515.0,徐汇,精装,83.88,1995.0
南,无电梯,高楼层(共6层),锦绣苑,25,2室2厅,660.0,浦东,精装,98.18,1995.0
南,无电梯,低楼层(共6层),兴浦新村,26,2室1厅,255.0,杨浦,简装,63.98,1995.0
南,无电梯,中楼层(共5层),安图新村,27,2室1厅,320.0,杨浦,精装,58.05,1995.0
南,有电梯,低楼层(共15层),绿地新江桥城,28,2室1厅,303.0,嘉定,其他,77.42,1995.0
南北,有电梯,高楼层(共11层),绿地世纪城(二期),29,3室2厅,898.0,普陀,精装,113.05,1995.0
南,有电梯,高楼层(共30层),仁恒河滨城(二期),30,3室2厅,1290.0,浦东,精装,151.16,1995.0
南北,有电梯,高楼层(共14层),盛达家园,31,2室2厅,380.0,宝山,简装,91.42,1995.0
南,有电梯,中楼层(共18层),香梅花园(三-五期),32,3室2厅,1379.0,浦东,其他,160.87,1995.0
南,有电梯,高楼层(共11层),君莲新城广润苑,33,2室2厅,355.0,闵行,简装,86.37,1995.0
南,有电梯,高楼层(共12层),新梅公寓,34,2室2厅,499.0,闵行,精装,108.53,1995.0
南,无电梯,低楼层(共6层),振宏小区,35,2室1厅,375.0,闵行,精装,65,1995.0
南,有电梯,中楼层(共18层),紫薇园,36,3室1厅,660.0,徐汇,简装,107.27,1995.0
南,有电梯,中楼层(共12层),新江湾城雍景苑,37,3室1厅,935.0,杨浦,精装,136.18,1995.0
南,有电梯,低楼层(共13层),绿城玉兰花园(一期),38,3室2厅,1260.0,浦东,精装,191.76,1995.0
南北,有电梯,高楼层(共13层),翰锦苑,39,3室2厅,740.0,浦东,精装,114.86,1995.0
南,有电梯,低楼层(共24层),嘉瑞花苑,40,2室2厅,900.0,徐汇,精装,115.17,1995.0
南,有电梯,高楼层(共35层),浦东世纪花园(公寓),41,3室2厅,1600.0,浦东,精装,179.52,1995.0
南,有电梯,中楼层(共7层),东方知音苑,42,3室2厅,970.0,浦东,精装,115,1995.0
南,,低楼层(共30层),华丽家族汇景天地(商业类),43,1室0厅,358.0,黄浦,精装,80.87,1995.0
南,无电梯,高楼层(共6层),航华四村,44,2室1厅,255.0,闵行,其他,66.57,1995.0
南,有电梯,高楼层(共15层),上海康城,45,3室2厅,456.0,闵行,精装,135.79,1995.0
南,有电梯,低楼层(共30层),耀江花园,46,2室2厅,1300.0,黄浦,精装,111.39,1995.0
南,无电梯,低楼层(共6层),打浦路210弄,47,2室1厅,385.0,黄浦,精装,45.17,1995.0
南,有电梯,中楼层(共26层),仁恒河滨城(三期),48,3室2厅,1370.0,浦东,其他,136.31,1995.0
南北,无电梯,低楼层(共6层),广洋苑,49,3室2厅,670.0,浦东,简装,85.74,1995.0
南,有电梯,中楼层(共29层),翠湖天地嘉苑,50,2室2厅,1870.0,黄浦,精装,134.89,1995.0
南,有电梯,中楼层(共23层),维多利亚(公寓),51,2室2厅,820.0,长宁,简装,139.69,1995.0
南,无电梯,高楼层(共6层),丽泽兰馨苑,52,1室1厅,116.0,浦东,毛坯,60.11,1995.0
南,无电梯,低楼层(共6层),武定路540弄,53,2室1厅,450.0,静安,简装,54,1995.0
西,有电梯,高楼层(共24层),银欣花苑(虹口),54,2室2厅,600.0,虹口,精装,117.41,1995.0
南,有电梯,低楼层(共11层),水语人家南苑,55,1室1厅,175.0,闵行,精装,56.45,1995.0
南北,无电梯,中楼层(共6层),水岸金桥苑,56,2室1厅,305.0,嘉定,毛坯,73.58,1995.0
南北,有电梯,低楼层(共12层),香逸湾,57,3室2厅,350.0,宝山,精装,89.27,1995.0
南,有电梯,高楼层(共7层),张江汤臣豪园(二期),58,2室2厅,665.0,浦东,简装,76.87,1995.0
